"","from","to","from_type","to_type","from_part","from_chapter","from_subchapter","from_exercise","to_part","to_chapter","to_subchapter","to_exercise","key"
"1",1,2,"exercise","exercise",1,2,1,1,1,2,1,2,"1_2"
"2",1,3,"exercise","exercise",1,2,1,1,1,2,1,3,"1_3"
"3",1,4,"exercise","exercise",1,2,1,1,1,2,1,4,"1_4"
"4",1,5,"exercise","exercise",1,2,1,1,1,2,1,5,"1_5"
"5",2,3,"exercise","exercise",1,2,1,2,1,2,1,3,"2_3"
"6",2,4,"exercise","exercise",1,2,1,2,1,2,1,4,"2_4"
"7",2,5,"exercise","exercise",1,2,1,2,1,2,1,5,"2_5"
"8",3,4,"exercise","exercise",1,2,1,3,1,2,1,4,"3_4"
"9",3,5,"exercise","exercise",1,2,1,3,1,2,1,5,"3_5"
"10",4,5,"exercise","exercise",1,2,1,4,1,2,1,5,"4_5"
"11",6,7,"exercise","exercise",1,2,2,1,1,2,2,2,"6_7"
"12",6,8,"exercise","exercise",1,2,2,1,1,2,2,3,"6_8"
"13",6,9,"exercise","exercise",1,2,2,1,1,2,2,4,"6_9"
"14",7,8,"exercise","exercise",1,2,2,2,1,2,2,3,"7_8"
"15",7,9,"exercise","exercise",1,2,2,2,1,2,2,4,"7_9"
"16",8,9,"exercise","exercise",1,2,2,3,1,2,2,4,"8_9"
"17",10,11,"exercise","exercise",1,2,3,1,1,2,3,2,"10_11"
"18",10,12,"exercise","exercise",1,2,3,1,1,2,3,3,"10_12"
"19",11,12,"exercise","exercise",1,2,3,2,1,2,3,3,"11_12"
"20",13,14,"exercise","exercise",1,2,4,1,1,2,4,2,"13_14"
"21",13,15,"exercise","exercise",1,2,4,1,1,2,4,3,"13_15"
"22",14,15,"exercise","exercise",1,2,4,2,1,2,4,3,"14_15"
"23",16,17,"exercise","exercise",1,3,1,1,1,3,1,2,"16_17"
"24",16,18,"exercise","exercise",1,3,1,1,1,3,1,3,"16_18"
"25",16,19,"exercise","exercise",1,3,1,1,1,3,1,4,"16_19"
"26",16,20,"exercise","exercise",1,3,1,1,1,3,1,5,"16_20"
"27",17,18,"exercise","exercise",1,3,1,2,1,3,1,3,"17_18"
"28",17,19,"exercise","exercise",1,3,1,2,1,3,1,4,"17_19"
"29",17,20,"exercise","exercise",1,3,1,2,1,3,1,5,"17_20"
"30",18,19,"exercise","exercise",1,3,1,3,1,3,1,4,"18_19"
"31",18,20,"exercise","exercise",1,3,1,3,1,3,1,5,"18_20"
"32",19,20,"exercise","exercise",1,3,1,4,1,3,1,5,"19_20"
"33",21,22,"exercise","exercise",1,3,2,6,1,3,2,7,"21_22"
"34",21,23,"exercise","exercise",1,3,2,6,1,3,2,8,"21_23"
"35",21,24,"exercise","exercise",1,3,2,6,1,3,2,9,"21_24"
"36",22,23,"exercise","exercise",1,3,2,7,1,3,2,8,"22_23"
