rawid;chapter;subchapter;exercise;status;updated_when;updated_by
1;2 Names and values;Binding basics;1;reviewed;06.02.2019;-
2;2 Names and values;Binding basics;2;reviewed;06.02.2019;-
3;2 Names and values;Binding basics;3;reviewed;06.02.2019;-
4;2 Names and values;Binding basics;4;reviewed;06.02.2019;-
5;2 Names and values;Binding basics;5;reviewed;06.02.2019;-
6;2 Names and values;Copy-on-modify;1;reviewed;06.02.2019;-
7;2 Names and values;Copy-on-modify;2;reviewed;06.02.2019;-
8;2 Names and values;Copy-on-modify;3;reviewed;06.02.2019;-
9;2 Names and values;Copy-on-modify;4;reviewed;06.02.2019;-
10;2 Names and values;Object size;1;reviewed;06.02.2019;-
11;2 Names and values;Object size;2;reviewed;06.02.2019;-
12;2 Names and values;Object size;3;reviewed;06.02.2019;-
13;2 Names and values;Modify-in-place;1;reviewed;06.02.2019;-
14;2 Names and values;Modify-in-place;2;reviewed;06.02.2019;-
15;2 Names and values;Modify-in-place;3;reviewed;06.02.2019;-
16;3 Vectors;Atomic vectors;1;reviewed;06.02.2019;-
17;3 Vectors;Atomic vectors;2;reviewed;06.02.2019;-
18;3 Vectors;Atomic vectors;3;reviewed;06.02.2019;-
19;3 Vectors;Atomic vectors;4;reviewed;06.02.2019;-
20;3 Vectors;Atomic vectors;5;reviewed;06.02.2019;-
21;3 Vectors;Attributes;6;reviewed;06.02.2019;-
22;3 Vectors;Attributes;7;reviewed;06.02.2019;-
23;3 Vectors;Attributes;8;reviewed;06.02.2019;-
24;3 Vectors;Attributes;9;reviewed;06.02.2019;-
25;3 Vectors;S3 atomic vectors;10;reviewed;06.02.2019;-
26;3 Vectors;S3 atomic vectors;11;reviewed;06.02.2019;-
27;3 Vectors;S3 atomic vectors;12;reviewed;06.02.2019;-
28;3 Vectors;Lists;13;reviewed;06.02.2019;-
29;3 Vectors;Lists;14;reviewed;06.02.2019;-
30;3 Vectors;Lists;15;reviewed;06.02.2019;-
31;3 Vectors;Data frames and tibbles;16;reviewed;06.02.2019;-
32;3 Vectors;Data frames and tibbles;17;reviewed;06.02.2019;-
33;3 Vectors;Data frames and tibbles;18;reviewed;06.02.2019;-
34;3 Vectors;Data frames and tibbles;19;reviewed;06.02.2019;-
35;4 Subsetting;Selecting multiple elements;1;reviewed;06.02.2019;-
36;4 Subsetting;Selecting multiple elements;2;reviewed;06.02.2019;-
37;4 Subsetting;Selecting multiple elements;3;reviewed;06.02.2019;-
38;4 Subsetting;Selecting multiple elements;4;reviewed;06.02.2019;-
39;4 Subsetting;Selecting multiple elements;5;reviewed;06.02.2019;-
40;4 Subsetting;Selecting multiple elements;6;reviewed;06.02.2019;-
41;4 Subsetting;Selecting a single element;7;reviewed;06.02.2019;-
42;4 Subsetting;Selecting a single element;8;reviewed;06.02.2019;-
43;4 Subsetting;Applications;9;reviewed;06.02.2019;-
44;4 Subsetting;Applications;10;reviewed;06.02.2019;-
45;4 Subsetting;Applications;11;reviewed;06.02.2019;-
46;5 Control flow;Choices;1;reviewed;06.02.2019;-
47;5 Control flow;Choices;2;reviewed;06.02.2019;-
48;5 Control flow;Loops;3;reviewed;06.02.2019;-
49;5 Control flow;Loops;4;reviewed;06.02.2019;-
50;5 Control flow;Loops;5;reviewed;06.02.2019;-
51;6 Functions;Function fundamentals;1;reviewed;06.02.2019;-
52;6 Functions;Function fundamentals;2;reviewed;06.02.2019;-
53;6 Functions;Function fundamentals;3;reviewed;06.02.2019;-
54;6 Functions;Function fundamentals;4;reviewed;06.02.2019;-
55;6 Functions;Function fundamentals;5;reviewed;06.02.2019;-
56;6 Functions;Function fundamentals;6;reviewed;06.02.2019;-
57;6 Functions;Function fundamentals;7;reviewed;06.02.2019;-
58;6 Functions;Lexical Scoping;8;reviewed;06.02.2019;-
59;6 Functions;Lexical Scoping;9;reviewed;06.02.2019;-
60;6 Functions;Lexical Scoping;10;reviewed;06.02.2019;-
61;6 Functions;Lazy evaluation;11;reviewed;06.02.2019;-
62;6 Functions;Lazy evaluation;12;reviewed;06.02.2019;-
63;6 Functions;Lazy evaluation;13;reviewed;06.02.2019;-
64;6 Functions;Lazy evaluation;14;reviewed;06.02.2019;-
65;6 Functions;Lazy evaluation;15;reviewed;06.02.2019;-
66;6 Functions;Lazy evaluation;16;reviewed;06.02.2019;-
67;6 Functions;dot-dot-dot;17;reviewed;06.02.2019;-
68;6 Functions;dot-dot-dot;18;reviewed;06.02.2019;-
69;6 Functions;dot-dot-dot;19;reviewed;06.02.2019;-
70;6 Functions;Exiting a function;20;reviewed;06.02.2019;-
71;6 Functions;Exiting a function;21;reviewed;06.02.2019;-
72;6 Functions;Exiting a function;22;solved;06.02.2019;-
73;6 Functions;Exiting a function;23;reviewed;06.02.2019;-
74;6 Functions;Exiting a function;24;reviewed;06.02.2019;-
75;6 Functions;Function forms;25;reviewed;06.02.2019;-
76;6 Functions;Function forms;26;reviewed;06.02.2019;-
77;6 Functions;Function forms;27;reviewed;06.02.2019;-
78;6 Functions;Function forms;28;reviewed;06.02.2019;-
79;6 Functions;Function forms;29;reviewed;06.02.2019;-
