"";"rawid";"chapter";"subchapter";"exercise";"status";"updated_when";"updated_by";"credits"
"1";1;"2 Names and values";"1 Binding basics";1;"solved";"2019-02-06";"-";"@user123"
"2";2;"2 Names and values";"1 Binding basics";2;"solved";"2019-02-06";"-";""
"3";3;"2 Names and values";"1 Binding basics";3;"solved";"2019-02-06";"-";""
"4";4;"2 Names and values";"1 Binding basics";4;"solved";"2019-02-06";"-";""
"5";5;"2 Names and values";"1 Binding basics";5;"solved";"2019-02-06";"-";""
"6";6;"2 Names and values";"2 Copy-on-modify";1;"solved";"2019-02-06";"-";""
"7";7;"2 Names and values";"2 Copy-on-modify";2;"solved";"2019-02-06";"-";""
"8";8;"2 Names and values";"2 Copy-on-modify";3;"solved";"2019-02-06";"-";""
"9";9;"2 Names and values";"2 Copy-on-modify";4;"solved";"2019-02-06";"-";""
"10";10;"2 Names and values";"3 Object size";1;"solved";"2019-02-06";"-";""
"11";11;"2 Names and values";"3 Object size";2;"solved";"2019-02-06";"-";""
"12";12;"2 Names and values";"3 Object size";3;"solved";"2019-02-06";"-";""
"13";13;"2 Names and values";"4 Modify-in-place";1;"started";"2019-02-06";"-";""
"14";14;"2 Names and values";"4 Modify-in-place";2;"solved";"2019-02-06";"-";""
"15";15;"2 Names and values";"4 Modify-in-place";3;"solved";"2019-02-06";"-";""
"16";16;"3 Vectors";"tbd";1;"solved";"2019-02-06";"-";""
"17";17;"3 Vectors";"tbd";2;"solved";"2019-02-06";"-";""
"18";18;"3 Vectors";"tbd";3;"solved";"2019-02-06";"-";""
"19";19;"3 Vectors";"tbd";4;"solved";"2019-02-06";"-";""
"20";20;"3 Vectors";"tbd";5;"solved";"2019-02-06";"-";""
"21";21;"3 Vectors";"tbd";6;"solved";"2019-02-06";"-";""
"22";22;"3 Vectors";"tbd";7;"solved";"2019-02-06";"-";""
"23";23;"3 Vectors";"tbd";8;"solved";"2019-02-06";"-";""
"24";24;"3 Vectors";"tbd";9;"solved";"2019-02-06";"-";""
"25";25;"3 Vectors";"tbd";10;"solved";"2019-02-06";"-";""
"26";26;"3 Vectors";"tbd";11;"solved";"2019-02-06";"-";""
"27";27;"3 Vectors";"tbd";12;"solved";"2019-02-06";"-";""
"28";28;"3 Vectors";"tbd";13;"solved";"2019-02-06";"-";""
"29";29;"3 Vectors";"tbd";14;"solved";"2019-02-06";"-";""
"30";30;"3 Vectors";"tbd";15;"solved";"2019-02-06";"-";""
"31";31;"3 Vectors";"tbd";16;"solved";"2019-02-06";"-";""
"32";32;"3 Vectors";"tbd";17;"solved";"2019-02-06";"-";""
"33";33;"3 Vectors";"tbd";18;"solved";"2019-02-06";"-";""
"34";34;"3 Vectors";"tbd";19;"solved";"2019-02-06";"-";""
"35";35;"4 Subsetting";"tbd";1;"solved";"2019-02-06";"-";""
"36";36;"4 Subsetting";"tbd";2;"solved";"2019-02-06";"-";""
"37";37;"4 Subsetting";"tbd";3;"solved";"2019-02-06";"-";""
"38";38;"4 Subsetting";"tbd";4;"solved";"2019-02-06";"-";""
"39";39;"4 Subsetting";"tbd";5;"solved";"2019-02-06";"-";""
"40";40;"4 Subsetting";"tbd";6;"solved";"2019-02-06";"-";""
"41";41;"4 Subsetting";"tbd";7;"solved";"2019-02-06";"-";""
"42";42;"4 Subsetting";"tbd";8;"solved";"2019-02-06";"-";""
"43";43;"4 Subsetting";"tbd";9;"solved";"2019-02-06";"-";""
"44";44;"4 Subsetting";"tbd";10;"solved";"2019-02-06";"-";""
"45";45;"4 Subsetting";"tbd";11;"solved";"2019-02-06";"-";""
"46";46;"5 Control flow";"tbd";1;"solved";"2019-02-06";"-";""
"47";47;"5 Control flow";"tbd";2;"solved";"2019-02-06";"-";""
"48";48;"5 Control flow";"tbd";3;"solved";"2019-02-06";"-";""
"49";49;"5 Control flow";"tbd";4;"solved";"2019-02-06";"-";""
"50";50;"5 Control flow";"tbd";5;"solved";"2019-02-06";"-";""
"51";51;"6 Functions";"tbd";1;"started";"2019-02-06";"-";""
"52";52;"6 Functions";"tbd";2;"solved";"2019-02-06";"-";""
"53";53;"6 Functions";"tbd";3;"solved";"2019-02-06";"-";""
"54";54;"6 Functions";"tbd";4;"solved";"2019-02-06";"-";""
"55";55;"6 Functions";"tbd";5;"solved";"2019-02-06";"-";""
"56";56;"6 Functions";"tbd";6;"solved";"2019-02-06";"-";""
"57";57;"6 Functions";"tbd";7;"solved";"2019-02-06";"-";""
"58";58;"6 Functions";"tbd";8;"solved";"2019-02-06";"-";""
"59";59;"6 Functions";"tbd";9;"solved";"2019-02-06";"-";""
"60";60;"6 Functions";"tbd";10;"solved";"2019-02-06";"-";""
"61";61;"6 Functions";"tbd";11;"solved";"2019-02-06";"-";""
"62";62;"6 Functions";"tbd";12;"solved";"2019-02-06";"-";""
"63";63;"6 Functions";"tbd";13;"solved";"2019-02-06";"-";""
"64";64;"6 Functions";"tbd";14;"solved";"2019-02-06";"-";""
"65";65;"6 Functions";"tbd";15;"solved";"2019-02-06";"-";""
"66";66;"6 Functions";"tbd";16;"solved";"2019-02-06";"-";""
"67";67;"6 Functions";"tbd";17;"solved";"2019-02-06";"-";""
"68";68;"6 Functions";"tbd";18;"solved";"2019-02-06";"-";""
"69";69;"6 Functions";"tbd";19;"solved";"2019-02-06";"-";""
"70";70;"6 Functions";"tbd";20;"solved";"2019-02-06";"-";""
"71";71;"6 Functions";"tbd";21;"solved";"2019-02-06";"-";""
"72";72;"6 Functions";"tbd";22;"started";"2019-02-06";"-";""
"73";73;"6 Functions";"tbd";23;"solved";"2019-02-06";"-";""
"74";74;"6 Functions";"tbd";24;"solved";"2019-02-06";"-";""
"75";75;"6 Functions";"tbd";25;"solved";"2019-02-06";"-";""
"76";76;"6 Functions";"tbd";26;"solved";"2019-02-06";"-";""
"77";77;"6 Functions";"tbd";27;"started";"2019-02-06";"-";""
"78";78;"6 Functions";"tbd";28;"solved";"2019-02-06";"-";""
"79";79;"6 Functions";"tbd";29;"solved";"2019-02-06";"-";""
"80";80;"6 Functions";"tbd";30;"solved";"2019-02-06";"-";""
"81";81;"6 Functions";"tbd";31;"solved";"2019-02-06";"-";""
"82";82;"6 Functions";"tbd";32;"solved";"2019-02-06";"-";""
"83";83;"6 Functions";"tbd";33;"solved";"2019-02-06";"-";""
"84";84;"7 Environments";"tbd";1;"solved";"2019-02-06";"-";""
"85";85;"7 Environments";"tbd";2;"solved";"2019-02-06";"-";""
"86";86;"7 Environments";"tbd";3;"solved";"2019-02-06";"-";""
"87";87;"7 Environments";"tbd";4;"solved";"2019-02-06";"-";""
"88";88;"7 Environments";"tbd";5;"solved";"2019-02-06";"-";""
"89";89;"7 Environments";"tbd";6;"solved";"2019-02-06";"-";""
"90";90;"7 Environments";"tbd";7;"solved";"2019-02-06";"-";""
"91";91;"7 Environments";"tbd";8;"solved";"2019-02-06";"-";""
"92";92;"7 Environments";"tbd";9;"solved";"2019-02-06";"-";""
"93";93;"7 Environments";"tbd";10;"solved";"2019-02-06";"-";""
"94";290;"7 Environments";"tbd";11;"solved";"2019-02-07";"-";""
"95";95;"7 Environments";"tbd";12;"solved";"2019-02-06";"-";""
"96";96;"8 Conditions";"tbd";1;"solved";"2019-02-06";"-";""
"97";97;"8 Conditions";"tbd";2;"solved";"2019-02-06";"-";""
"98";98;"8 Conditions";"tbd";3;"solved";"2019-02-06";"-";""
"99";99;"8 Conditions";"tbd";4;"solved";"2019-02-06";"-";""
"100";100;"8 Conditions";"tbd";5;"solved";"2019-02-06";"-";""
"101";101;"8 Conditions";"tbd";6;"solved";"2019-02-06";"-";""
"102";102;"8 Conditions";"tbd";7;"solved";"2019-02-06";"-";""
"103";103;"8 Conditions";"tbd";8;"solved";"2019-02-06";"-";""
"104";104;"8 Conditions";"tbd";9;"solved";"2019-02-06";"-";""
"105";105;"8 Conditions";"tbd";10;"solved";"2019-02-06";"-";""
"106";106;"8 Conditions";"tbd";11;"solved";"2019-02-06";"-";""
"107";107;"8 Conditions";"tbd";12;"solved";"2019-02-06";"-";""
"108";108;"8 Conditions";"tbd";13;"solved";"2019-02-06";"-";""
"109";291;"9 Functionals";"tbd";1;"solved";"2019-02-07";"-";""
"110";110;"9 Functionals";"tbd";2;"solved";"2019-02-06";"-";""
"111";111;"9 Functionals";"tbd";3;"solved";"2019-02-06";"-";""
"112";112;"9 Functionals";"tbd";4;"solved";"2019-02-06";"-";""
"113";113;"9 Functionals";"tbd";5;"solved";"2019-02-06";"-";""
"114";114;"9 Functionals";"tbd";6;"solved";"2019-02-06";"-";""
"115";115;"9 Functionals";"tbd";7;"solved";"2019-02-06";"-";""
"116";116;"9 Functionals";"tbd";8;"solved";"2019-02-06";"-";""
"117";117;"9 Functionals";"tbd";9;"solved";"2019-02-06";"-";""
"118";118;"9 Functionals";"tbd";10;"solved";"2019-02-06";"-";""
"119";119;"9 Functionals";"tbd";11;"solved";"2019-02-06";"-";""
"120";120;"9 Functionals";"tbd";12;"solved";"2019-02-06";"-";""
"121";121;"9 Functionals";"tbd";13;"solved";"2019-02-06";"-";""
"122";122;"9 Functionals";"tbd";14;"solved";"2019-02-06";"-";""
"123";123;"9 Functionals";"tbd";15;"solved";"2019-02-06";"-";""
"124";124;"9 Functionals";"tbd";16;"solved";"2019-02-06";"-";""
"125";125;"9 Functionals";"tbd";17;"solved";"2019-02-06";"-";""
"126";126;"9 Functionals";"tbd";18;"solved";"2019-02-06";"-";""
"127";292;"9 Functionals";"tbd";19;"solved";"2019-02-08";"-";""
"128";128;"10 Function factories";"tbd";1;"solved";"2019-02-06";"-";""
"129";129;"10 Function factories";"tbd";2;"solved";"2019-02-06";"-";""
"130";130;"10 Function factories";"tbd";3;"solved";"2019-02-06";"-";""
"131";131;"10 Function factories";"tbd";4;"solved";"2019-02-06";"-";""
"132";132;"10 Function factories";"tbd";5;"solved";"2019-02-06";"-";""
"133";133;"10 Function factories";"tbd";6;"solved";"2019-02-06";"-";""
"134";134;"10 Function factories";"tbd";7;"open";"2019-02-06";"-";""
"135";135;"10 Function factories";"tbd";8;"solved";"2019-02-06";"-";""
"136";136;"10 Function factories";"tbd";9;"open";"2019-02-06";"-";""
"137";137;"10 Function factories";"tbd";10;"solved";"2019-02-06";"-";""
"138";138;"10 Function factories";"tbd";11;"solved";"2019-02-12";"-";""
"139";139;"10 Function factories";"tbd";12;"solved";"2019-02-06";"-";""
"140";140;"10 Function factories";"tbd";13;"solved";"2019-03-13";"-";""
"141";141;"11 Function operators";"tbd";1;"open";"2019-02-06";"-";""
"142";142;"11 Function operators";"tbd";2;"open";"2019-02-06";"-";""
"143";143;"11 Function operators";"tbd";3;"open";"2019-02-06";"-";""
"144";144;"11 Function operators";"tbd";4;"open";"2019-02-06";"-";""
"145";145;"11 Function operators";"tbd";5;"open";"2019-02-06";"-";""
"146";146;"13 S3";"1 Basics";1;"solved";"2019-03-12";"-";""
"147";147;"13 S3";"1 Basics";2;"solved";"2019-03-12";"-";""
"148";148;"13 S3";"1 Basics";3;"solved";"2019-03-12";"-";""
"149";149;"13 S3";"1 Basics";4;"solved";"2019-03-12";"-";""
"150";150;"13 S3";"1 Basics";5;"solved";"2019-03-12";"-";""
"151";151;"13 S3";"1 Basics";6;"solved";"2019-03-12";"-";""
"152";152;"13 S3";"2 Classes";1;"solved";"2019-03-12";"-";""
"153";153;"13 S3";"2 Classes";2;"solved";"2019-02-06";"-";""
"154";154;"13 S3";"2 Classes";3;"solved";"2019-02-06";"-";""
"155";155;"13 S3";"2 Classes";4;"solved";"2019-03-12";"-";""
"156";156;"13 S3";"2 Classes";5;"solved";"2019-03-12";"-";""
"157";157;"13 S3";"3 Generics and methods";1;"solved";"2019-02-06";"-";""
"158";158;"13 S3";"3 Generics and methods";2;"solved";"2019-03-13";"-";""
"159";159;"13 S3";"3 Generics and methods";3;"solved";"2019-03-13";"-";""
"160";160;"13 S3";"3 Generics and methods";4;"solved";"2019-02-06";"-";""
"161";161;"13 S3";"3 Generics and methods";5;"solved";"2019-02-06";"-";""
"162";162;"13 S3";"3 Generics and methods";6;"started";"2019-03-13";"-";""
"163";163;"13 S3";"4 Object styles";1;"started";"2019-02-06";"-";""
"164";164;"13 S3";"4 Object styles";2;"solved";"2019-02-06";"-";""
"165";165;"13 S3";"5 Inheritance";1;"started";"2019-03-13";"-";""
"166";166;"13 S3";"5 Inheritance";2;"solved";"2019-02-06";"-";""
"167";167;"13 S3";"5 Inheritance";3;"solved";"2019-03-13";"-";""
"168";168;"13 S3";"6 Dispatch details";1;"started";"2019-02-06";"-";""
"169";169;"13 S3";"6 Dispatch details";2;"solved";"2019-02-06";"-";""
"170";170;"13 S3";"6 Dispatch details";3;"solved";"2019-02-06";"-";""
"171";319;"14 R6";"1 Classes and methods";1;"open";"2019-02-08";"-";""
"172";320;"14 R6";"1 Classes and methods";2;"open";"2019-02-08";"-";""
"173";321;"14 R6";"1 Classes and methods";3;"open";"2019-02-08";"-";""
"174";322;"14 R6";"1 Classes and methods";4;"open";"2019-02-08";"-";""
"175";323;"14 R6";"1 Classes and methods";5;"open";"2019-02-08";"-";""
"176";324;"14 R6";"1 Classes and methods";6;"open";"2019-02-08";"-";""
"177";325;"14 R6";"1 Classes and methods";7;"open";"2019-02-08";"-";""
"178";316;"14 R6";"2 Controlling access";1;"open";"2019-02-08";"-";""
"179";327;"14 R6";"2 Controlling access";2;"open";"2019-02-08";"-";""
"180";328;"14 R6";"2 Controlling access";3;"open";"2019-02-08";"-";""
"181";329;"14 R6";"3 Reference semantics";1;"open";"2019-02-08";"-";""
"182";358;"15 S4";"1 Basics";1;"open";"2019-03-13";"-";""
"183";360;"15 S4";"2 Classes";1;"open";"2019-03-13";"-";""
"184";172;"15 S4";"2 Classes";2;"solved";"2019-02-06";"-";""
"185";173;"15 S4";"2 Classes";3;"started";"2019-02-06";"-";""
"186";174;"15 S4";"3 Generics and methods";1;"solved";"2019-02-06";"-";""
"187";361;"15 S4";"3 Generics and methods";2;"open";"2019-03-13";"-";""
"188";175;"15 S4";"3 Generics and methods";3;"solved";"2019-02-06";"-";""
"189";362;"15 S4";"3 Generics and methods";4;"open";"2019-03-13";"-";""
"190";364;"15 S4";"4 Method dispatch";1;"open";"2019-03-13";"-";""
"191";363;"15 S4";"4 Method dispatch";2;"open";"2019-03-13";"-";""
"192";176;"15 S4";"4 Method dispatch";3;"solved";"2019-02-06";"-";""
"193";365;"15 S4";"5 S4 and S3";1;"open";"2019-03-13";"-";""
"194";366;"15 S4";"5 S4 and S3";2;"open";"2019-03-13";"-";""
"195";179;"18 Expressions";"tbd";1;"solved";"2019-03-13";"-";""
"196";180;"18 Expressions";"tbd";2;"open";"2019-03-13";"-";""
"197";181;"18 Expressions";"tbd";3;"open";"2019-03-13";"-";""
"198";182;"18 Expressions";"tbd";4;"open";"2019-03-13";"-";""
"199";183;"18 Expressions";"tbd";5;"solved";"2019-02-06";"-";""
"200";184;"18 Expressions";"tbd";6;"solved";"2019-02-06";"-";""
"201";185;"18 Expressions";"tbd";7;"open";"2019-02-06";"-";""
"202";186;"18 Expressions";"tbd";8;"open";"2019-02-06";"-";""
"203";186;"18 Expressions";"tbd";9;"solved";"2019-02-06";"-";""
"204";188;"18 Expressions";"tbd";10;"solved";"2019-02-06";"-";""
"205";189;"18 Expressions";"tbd";11;"started";"2019-02-06";"-";""
"206";190;"18 Expressions";"tbd";12;"solved";"2019-02-06";"-";""
"207";191;"18 Expressions";"tbd";13;"solved";"2019-02-06";"-";""
"208";192;"18 Expressions";"tbd";14;"open";"2019-02-06";"-";""
"209";193;"18 Expressions";"tbd";15;"solved";"2019-02-06";"-";""
"210";194;"18 Expressions";"tbd";16;"started";"2019-02-06";"-";""
"211";195;"18 Expressions";"tbd";17;"solved";"2019-02-06";"-";""
"212";196;"18 Expressions";"tbd";18;"open";"2019-02-06";"-";""
"213";197;"18 Expressions";"tbd";19;"solved";"2019-02-06";"-";""
"214";198;"18 Expressions";"tbd";20;"open";"2019-02-06";"-";""
"215";199;"18 Expressions";"tbd";21;"open";"2019-02-06";"-";""
"216";204;"19 Quasiquotation";"tbd";1;"solved";"2019-02-06";"-";""
"217";205;"19 Quasiquotation";"tbd";2;"solved";"2019-02-06";"-";""
"218";206;"19 Quasiquotation";"tbd";3;"solved";"2019-02-06";"-";""
"219";207;"19 Quasiquotation";"tbd";4;"solved";"2019-02-06";"-";""
"220";208;"19 Quasiquotation";"tbd";5;"solved";"2019-02-06";"-";""
"221";209;"19 Quasiquotation";"tbd";6;"solved";"2019-02-06";"-";""
"222";210;"19 Quasiquotation";"tbd";7;"open";"2019-02-06";"-";""
"223";211;"19 Quasiquotation";"tbd";8;"solved";"2019-02-06";"-";""
